A01	Badanie ogolne moczu (profil)
57.89	Inne operacje naprawcze pecherza moczowego
57.89	Inne operacje naprawcze pecherza moczowego
57.91	Naciecie zwieracza wewnetrznego cewki moczowej
57.92	Rozszerzanie szyi pecherza moczowego
57.93	Opanowanie krwawienia pooperacyjnego z pecherza moczowego
57.94	Wprowadzenie na stale cewnika do pecherza moczowego
57.95	Wymiana cewnika wprowadzonego do pecherza moczowego na stale
57.96	Wszczepienie elektronicznego stymulatora pecherza moczowego
57.97	Wymiana elektronicznego stymulatora pecherza moczowego
57.98	Usuniecie elektronicznego stymulatora pecherza moczowego
57.99	Inne zabiegi w obrebie pecherza
58.01	Wyciecie przegrody cewki moczowej
58.02	Wytworzenie przetoki cewkowo-pochwowej
58.03	Uretrostomia kroczowa
58.04	Usuniecie kamienia z cewki przez jej naciecie
58.05	Usuniecie ciala obcego z cewki przez jej naciecie
	
58.21	Uretroskopia kroczowa
58.22	Inna uretroskopia
58.23	Biopsja cewki moczowej
58.23	Biopsja cewki moczowej
58.24	Biopsja tkanek okolocewkowych
58.29	Inne zabiegi diagnostyczne w obrebie cewki moczowej i tkanki okolocewkowej
58.31	Endoskopowe wyciecie lub usuniecie zmiany w cewce moczowej
58.31	Endoskopowe wyciecie lub usuniecie zmiany w cewce moczowej
58.31	Endoskopowe wyciecie lub usuniecie zmiany w cewce moczowej
58.31	Endoskopowe wyciecie lub usuniecie zmiany w cewce moczowej
58.31	Endoskopowe wyciecie lub usuniecie zmiany w cewce moczowej
58.31	Endoskopowe wyciecie lub usuniecie zmiany w cewce moczowej
58.31	Endoskopowe wyciecie lub usuniecie zmiany w cewce moczowej
58.31	Endoskopowe wyciecie lub usuniecie zmiany w cewce moczowej
58.39	Miejscowe wyciecie lub zniszczenie zmiany lub tkanek cewki moczowej - inne
58.39	Miejscowe wyciecie lub zniszczenie zmiany lub tkanek cewki moczowej - inne
58.39	Miejscowe wyciecie lub zniszczenie zmiany lub tkanek cewki moczowej - inne
58.39	Miejscowe wyciecie lub zniszczenie zmiany lub tkanek cewki moczowej - inne
58.39	Miejscowe wyciecie lub zniszczenie zmiany lub tkanek cewki moczowej - inne
58.39	Miejscowe wyciecie lub zniszczenie zmiany lub tkanek cewki moczowej - inne
58.39	Miejscowe wyciecie lub zniszczenie zmiany lub tkanek cewki moczowej - inne
58.39	Miejscowe wyciecie lub zniszczenie zmiany lub tkanek cewki moczowej - inne
58.39	Miejscowe wyciecie lub zniszczenie zmiany lub tkanek cewki moczowej - inne
58.41	Zeszycie rany cewki moczowej
58.41	Zeszycie rany cewki moczowej
58.42	Operacja przetoki cewkowej wytworzonej operacyjnie
58.43	Operacja przetoki cewkowej powstalej samoistnie
58.44	Odtworzenie ciaglosci cewki moczowej
58.45	Operacja spodziectwa lub wierzchniactwa
58.45	Operacja spodziectwa lub wierzchniactwa
58.45	Operacja spodziectwa lub wierzchniactwa
58.46	Inna rekonstrukcja cewki
58.47	Plastyka ujscia zewnetrznego cewki moczowej (meatoplastyka)
58.48	Plastyka cewki moczowej z zastosowaniem blony sluzowej lub skory
58.48	Plastyka cewki moczowej z zastosowaniem blony sluzowej lub skory
58.48	Plastyka cewki moczowej z zastosowaniem blony sluzowej lub skory
58.49	Inne operacje naprawcze cewki moczowej
58.49	Inne operacje naprawcze cewki moczowej
58.49	Inne operacje naprawcze cewki moczowej
58.49	Inne operacje naprawcze cewki moczowej
58.49	Inne operacje naprawcze cewki moczowej
58.49	Inne operacje naprawcze cewki moczowej
58.49	Inne operacje naprawcze cewki moczowej
58.49	Inne operacje naprawcze cewki moczowej
58.51	Przeciecie zwieracza zewnetrznego cewki moczowej
58.52	Wewnetrzne naciecie zewnetrznego ujscia cewki moczowej
58.53	Uwolnienie zrostow okolocewkowych
58.54	Uretrocystoskopowe usuniecie zwezenia cewki moczowej
58.54	Uretrocystoskopowe usuniecie zwezenia cewki moczowej
58.54	Uretrocystoskopowe usuniecie zwezenia cewki moczowej
58.54	Uretrocystoskopowe usuniecie zwezenia cewki moczowej
58.54	Uretrocystoskopowe usuniecie zwezenia cewki moczowej
58.61	Rozszerzenie polaczenia cewkowo-pecherzowego
58.62	Zglebnikowanie cewki moczowej
58.62	Zglebnikowanie cewki moczowej
58.63	Usuniecie kamienia z cewki moczowej bez naciecia
58.63	Usuniecie kamienia z cewki moczowej bez naciecia
58.64	Rozszerzenie cewki moczowej meskiej
58.64	Rozszerzenie cewki moczowej meskiej
58.65	Rozszerzenie cewki moczowej kobiecej
58.65	Rozszerzenie cewki moczowej kobiecej
58.91	Naciecie tkanki okolocewkowej
58.91	Naciecie tkanki okolocewkowej
58.91	Naciecie tkanki okolocewkowej
58.91	Naciecie tkanki okolocewkowej
58.92	Wyciecie tkanki okolocewkowej
58.93	Wszczepienie sztucznego zwieracza cewki moczowej [AUS]
58.93	Wszczepienie sztucznego zwieracza cewki moczowej [AUS]
58.93	Wszczepienie sztucznego zwieracza cewki moczowej [AUS]
58.93	Wszczepienie sztucznego zwieracza cewki moczowej [AUS]
58.94	Uretrocystoskopia i wstrzykniecie leku do okolicy zwieracza zewnetrznego cewki
58.98	Proteza cewki moczowej
58.98	Proteza cewki moczowej
58.98	Proteza cewki moczowej
58.98	Proteza cewki moczowej
58.98	Proteza cewki moczowej
58.98	Proteza cewki moczowej
58.99	Usuniecie zwieracza hydraulicznego cewki bez wymiany
58.99	Usuniecie zwieracza hydraulicznego cewki bez wymiany
58.99	Usuniecie zwieracza hydraulicznego cewki bez wymiany
59.00	Rozpreparowanie tkanki zaotrzewnowej nie okreslone inaczej
59.01	Uwolnienie lub przemieszczenie moczowodu objetego wloknieniem zaotrzewnowym
59.02	Inne uwolnienie zrostow okolonerkowych lub okolomoczowodowych
59.03	Uwolnienie zrostow okolonerkowych lub okolomoczowodowych laparoskopowo
59.09	Inne naciecie tkanki okolonerkowej lub okolomoczowodowej
59.11	Uwolnienie zrostow okolopecherzowych
59.12	Uwolnienie zrostow okolopecherzykowych laparoskopowo
59.19	Inne naciecie tkanki okolopecherzowej
59.19	Inne naciecie tkanki okolopecherzowej
59.19	Inne naciecie tkanki okolopecherzowej
59.21	Biopsja tkanki okolonerkowej lub okolopecherzowej
59.21	Biopsja tkanki okolonerkowej lub okolopecherzowej
59.29	Inne zabiegi diagnostyczne w zakresie tkanki okolonerkowej i okolopecherzowej
59.31	Operacja cewki metoda Kelly`ego-Kennedy'ego
59.32	Plikacja cewki metoda Kelly`ego-Stoeckela
59.39	Plikacja polaczenia pecherzowo-cewkowego - inne
59.41	Operacja metoda Goebela-Frangenheima-Stoeckela
59.42	Operacja metoda Millina-Reada
59.43	Operacja metoda Oxford
59.44	Uretrocystopeksja przez podwieszenie nadlonowe
59.51	Operacja metoda Burcha
59.52	Operacja metoda Marshalla-Marchetti`ego-Krantza
59.53	Przyszycie tkanki okolocewkowej do spojenia lonowego
59.59	Podwieszenie cewki moczowej – nie okreslone inaczej
59.61	Operacja metoda Pereyry
59.69	Podwieszenie tkanek okolocewkowych - inne
59.71	Podwieszenie cewki i pecherza z uzyciem pasm miesniowych
59.71	Podwieszenie cewki i pecherza z uzyciem pasm miesniowych
59.71	Podwieszenie cewki i pecherza z uzyciem pasm miesniowych
59.72	Wstrzykniecie implantu do moczowodu i/ lub pecherza moczowego
59.72	Wstrzykniecie implantu do moczowodu i/ lub pecherza moczowego
59.72	Wstrzykniecie implantu do moczowodu i/ lub pecherza moczowego
59.79	Operacje wysilkowego nietrzymania moczu - inne
59.79	Operacje wysilkowego nietrzymania moczu - inne
59.79	Operacje wysilkowego nietrzymania moczu - inne
59.79	Operacje wysilkowego nietrzymania moczu - inne
59.79	Operacje wysilkowego nietrzymania moczu - inne
59.79	Operacje wysilkowego nietrzymania moczu - inne
59.79	Operacje wysilkowego nietrzymania moczu - inne
59.79	Operacje wysilkowego nietrzymania moczu - inne
59.79	Operacje wysilkowego nietrzymania moczu - inne
59.81	Odprowadzenie moczu z nerki przez cewnik moczowodowy
59.82	Wprowadzenie cewnika moczowodowego
59.83	Rozszerzenie ujscia pecherzowego moczowodu
59.91	Wyciecie tkanki okolonerkowej lub okolopecherzowej
59.92	Inne operacje tkanek okolonerkowych lub okolopecherzowych
59.93	Wymiana cewnika w ureterostomii
59.93	Wymiana cewnika w ureterostomii
59.94	Wymiana cewnika w cystostomii
59.95	Kruszenie kamieni moczowych (ultradzwiekami)
59.99	Zabiegi i operacje w zakresie ukladu moczowego - inne
60.01	Naciecie ropnia stercza z drenazem
60.02	Usuniecie kamieni sterczowych
60.11	Przezskorna, iglowa biopsja stercza
60.11	Przezskorna, iglowa biopsja stercza
60.11	Przezskorna, iglowa biopsja stercza
60.12	Otwarta biopsja stercza
60.13	Przezskorna biopsja pecherzykow nasiennych
60.14	Otwarta biopsja pecherzykow nasiennych
60.15	Biopsja tkanek okolosterczowych
60.18	Inne zabiegi diagnostyczne stercza i tkanek okolosterczowych
60.18	Inne zabiegi diagnostyczne stercza i tkanek okolosterczowych
60.18	Inne zabiegi diagnostyczne stercza i tkanek okolosterczowych
60.18	Inne zabiegi diagnostyczne stercza i tkanek okolosterczowych
60.19	Inne zabiegi diagnostyczne w obrebie pecherzykow nasiennych
60.21	Przezcewkowe zniszczenie stercza laserem
60.21	Przezcewkowe zniszczenie stercza laserem
60.21	Przezcewkowe zniszczenie stercza laserem
60.22	Przezcewkowa fotoselektywna waporyzacja gruczolu krokowego (PVP)
60.23	Przezcewkowa elektroresekcja stercza
60.23	Przezcewkowa elektroresekcja stercza
60.24	Przezcewkowa waporyzacja stercza
60.24	Przezcewkowa waporyzacja stercza
60.25	Przezcewkowa ablacja iglowa stercza (TUNA)
60.26	Przezcewkowa termoterapia stercza
60.26	Przezcewkowa termoterapia stercza
60.27	Przezcewkowa ablacja alkoholowa stercza (TEAP)
60.29	Inne przezcewkowe wyciecie gruczolu krokowego 
60.29	Inne przezcewkowe wyciecie gruczolu krokowego 
60.29	Inne przezcewkowe wyciecie gruczolu krokowego 
60.29	Inne przezcewkowe wyciecie gruczolu krokowego 
60.29	Inne przezcewkowe wyciecie gruczolu krokowego 
60.31	Wyciecie stercza (prostatektomia) nadlonowa metoda otwarta
60.32	Wyciecie stercza (prostatektomia) bez limfadenektomii miednicznej laparoskopowo
60.41	Usuniecie operacyjne gruczolaka stercza (adenomektomia) z dostepu zalonowego zewnatrzpecherzowego
60.42	Wyciecie stercza (prostatektomia) bez limfadenektomii miednicznej z dostepu zalonowego
60.51	Wyciecie radykalne stercza (prostatektomia radykalna) z limfadenektomia zaslonowa z dostepu zalonowego
60.52	Wyciecie radykalne stercza (prostatektomia radykalna) z limfadenektomia miedniczna z dostepu zalonowego
60.53	Wyciecie radykalne stercza (prostatektomia radykalna) z limfadenektomia zaslonowa z dostepu kroczowego
60.54	Wyciecie radykalne stercza (prostatektomia radykalna) z limfadenektomia zaslonowa laparoskopowo
60.55	Wyciecie radykalne stercza (prostatektomia radykalna) z limfadenektomia miedniczna laparoskopowo
60.61	Miejscowe wyciecie zmiany stercza
60.62	Prostatektomia/ adenomektomia kroczowa
60.62	Prostatektomia/ adenomektomia kroczowa
60.62	Prostatektomia/ adenomektomia kroczowa
60.62	Prostatektomia/ adenomektomia kroczowa
60.63	Przezodbytnicza ablacja stercza skupiona wiazka fal ultradzwiekowych (HIFU)
60.64	Usuniecie operacyjne gruczolaka stercza (adenomektomia) z dostepu przezpecherzowego
60.65	Usuniecie operacyjne gruczolaka stercza (adenomektomia) i usuniecie uchylku (-ow) pecherza z dostepu przezpecherzowego
60.66	Usuniecie gruczolaka stercza (adenomektomia) zalonowe, zewnatrzpecherzowe laparoskopowo
60.69	Prostatektomia - inne
60.71	Przezskorne naklucie pecherzykow nasiennych
60.72	Naciecie pecherzykow nasiennych
60.73	Wyciecie pecherzykow nasiennych
60.73	Wyciecie pecherzykow nasiennych
60.73	Wyciecie pecherzykow nasiennych
60.73	Wyciecie pecherzykow nasiennych
60.79	Operacje pecherzykow nasiennych - inne
60.81	Naciecie tkanki okolosterczowej
60.82	Wyciecie tkanki okolosterczowej
60.83	Wyciecie wzgorka nasiennego z powodu zwezenia lub zarosniecia przewodu wytryskowego lub torbieli posrodkowej stercza pod kontrola uretroskopowa (TURED)
60.91	Biopsja aspiracyjna stercza
60.92	Wstrzykniecie leku do stercza
60.93	Zabieg naprawczy stercza
60.94	Opanowanie krwawienia po operacji stercza
60.94	Opanowanie krwawienia po operacji stercza
60.95	Przezcewkowe rozszerzenie balonem czesci sterczowej cewki moczowej
60.96	Naciecie przezcewkowe stercza (TUIP)
60.98	Proteza sterczowego odcinka cewki moczowej
60.98	Proteza sterczowego odcinka cewki moczowej
60.98	Proteza sterczowego odcinka cewki moczowej
60.98	Proteza sterczowego odcinka cewki moczowej
60.98	Proteza sterczowego odcinka cewki moczowej
60.98	Proteza sterczowego odcinka cewki moczowej
60.99	Operacje stercza - inne
	
61.11	Biopsja moszny i oslonki pochwowej jadra
61.12	Naklucie i oproznienie wodniaka jadra lub torbieli najadrza
61.19	Inne zabiegi diagnostyczne moszny/ oslonki pochwowej jadra
	
61.31	Elektrokoagulacja zmiany moszny
61.32	Redukcja sloniowacizny moszny
61.33	Czesciowe wyciecie moszny
61.41	Szycie rany moszny i oslonki pochwowej jadra
61.42	Operacja przetoki mosznowej
61.49	Operacje naprawcze moszny/ oslonki pochwowej - inne
61.49	Operacje naprawcze moszny/ oslonki pochwowej - inne
61.49	Operacje naprawcze moszny/ oslonki pochwowej - inne
61.49	Operacje naprawcze moszny/ oslonki pochwowej - inne
61.49	Operacje naprawcze moszny/ oslonki pochwowej - inne
61.49	Operacje naprawcze moszny/ oslonki pochwowej - inne
61.49	Operacje naprawcze moszny/ oslonki pochwowej - inne
61.49	Operacje naprawcze moszny/ oslonki pochwowej - inne
61.49	Operacje naprawcze moszny/ oslonki pochwowej - inne
61.91	Przezskorna aspiracja oslonki pochwowej
61.92	Wyciecie innej niz wodniak zmiany oslonki pochwowej jadra
61.93	Operacja z powodu martwicy moszny i skory pracia (zgorzel Fourniera)
61.94	Operacja z powodu martwicy moszny, skory pracia i podbrzusza (zgorzel Fourniera)
61.95	Pokrycie ubytku skory moszny i pracia przeszczepem
61.96	Pokrycie ubytku skory moszny, pracia i podbrzusza przeszczepem
61.99	Operacje moszny/ oslonki pochwowej - inne
	
62.11	Przezskorna iglowa biopsja jadra
62.12	Otwarta biopsja jadra
62.13	Pozyskanie nasienia
62.13	Pozyskanie nasienia
62.13	Pozyskanie nasienia
62.14	Laparoskopia w poszukiwaniu jadra
62.19	Inne zabiegi diagnostyczne jadra
62.21	Wyciecie czesciowe zmiany jadra
62.22	Wyciecie torbieli Morgagni'ego u mezczyzny
62.31	Wyciecie jadra jednostronne
62.32	Wyciecie jadra i jednoczasowe wszczepienie protezy jednostronne
62.33	Wyciecie jadra niezstapionego jednostronne laparoskopowo
62.41	Wyciecie obu jader w trakcie jednej operacji
62.41	Wyciecie obu jader w trakcie jednej operacji
62.41	Wyciecie obu jader w trakcie jednej operacji
62.41	Wyciecie obu jader w trakcie jednej operacji
62.42	Wyciecie jedynego jadra
62.50	Sprowadzenie do moszny jadra niezstapionego laparoskopowo
62.50	Sprowadzenie do moszny jadra niezstapionego laparoskopowo
62.50	Sprowadzenie do moszny jadra niezstapionego laparoskopowo
62.50	Sprowadzenie do moszny jadra niezstapionego laparoskopowo
62.50	Sprowadzenie do moszny jadra niezstapionego laparoskopowo
62.50	Sprowadzenie do moszny jadra niezstapionego laparoskopowo
62.51	Sprowadzenie dwuetapowe niezstapionego jadra brzusznego do moszny
62.51	Sprowadzenie dwuetapowe niezstapionego jadra brzusznego do moszny
62.51	Sprowadzenie dwuetapowe niezstapionego jadra brzusznego do moszny
62.51	Sprowadzenie dwuetapowe niezstapionego jadra brzusznego do moszny
62.51	Sprowadzenie dwuetapowe niezstapionego jadra brzusznego do moszny
62.51	Sprowadzenie dwuetapowe niezstapionego jadra brzusznego do moszny
62.51	Sprowadzenie dwuetapowe niezstapionego jadra brzusznego do moszny
62.51	Sprowadzenie dwuetapowe niezstapionego jadra brzusznego do moszny
62.52	Umocowanie jadra po odprowadzeniu skretu
62.52	Umocowanie jadra po odprowadzeniu skretu
62.53	Operacja Toreka (etap I/ etap II)
62.54	Przeszczepienie i umocowanie jadra w mosznie
62.55	Umocowanie w mosznie jadra niezstapionego
62.55	Umocowanie w mosznie jadra niezstapionego
62.56	Umocowanie w mosznie jadra niezstapionego i biopsja jadra
62.56	Umocowanie w mosznie jadra niezstapionego i biopsja jadra
62.57	Umocowanie w mosznie jadra niezstapionego i jednoczasowa operacja przepukliny pachwinowej
62.57	Umocowanie w mosznie jadra niezstapionego i jednoczasowa operacja przepukliny pachwinowej
62.58	Umocowanie w mosznie jadra niezstapionego i biopsja jadra oraz jednoczasowa operacja przepukliny pachwinowej
62.58	Umocowanie w mosznie jadra niezstapionego i biopsja jadra oraz jednoczasowa operacja przepukliny pachwinowej
62.61	Szycie rany jadra
62.69	Operacje naprawcze jadra - inne
62.69	Operacje naprawcze jadra - inne
62.71	Wszczepienie protezy jadra jednostronne
62.72	Wszczepienie protezy jadra obustronne
62.73	Usuniecie protezy jadra jednostronne
62.74	Usuniecie protezy jadra obustronne
62.75	Wymiana protezy jadra jednostronna
62.76	Wymiana protezy jadra obustronna
62.81	Operacja urazowego uszkodzenia jadra z zachowaniem jadra w mosznie
62.83	Operacja urazowego uszkodzenia jadra z wszczepieniem jadra poza obrebem moszny
62.84	Operacja urazowego uszkodzenia obu jader z wszczepieniem jader poza obrebem moszny
62.91	Naklucie i aspiracja jadra
62.92	Wstrzykniecia leku do jadra
62.93	"Pozyskanie plemnikow z tkanki jadra do rozrodu wspomaganego (IVF – in vitro fertilization; ICSI – intracytoplasmatic sperm injection)"
62.93	"Pozyskanie plemnikow z tkanki jadra do rozrodu wspomaganego (IVF – in vitro fertilization; ICSI – intracytoplasmatic sperm injection)"
62.93	"Pozyskanie plemnikow z tkanki jadra do rozrodu wspomaganego (IVF – in vitro fertilization; ICSI – intracytoplasmatic sperm injection)"
62.93	"Pozyskanie plemnikow z tkanki jadra do rozrodu wspomaganego (IVF – in vitro fertilization; ICSI – intracytoplasmatic sperm injection)"
62.99	Operacje jadra - inne
63.01	Biopsja powrozka nasiennego/ nasieniowodu lub najadrza
63.02	Naklucie wodniaka powrozka nasiennego
63.02	Naklucie wodniaka powrozka nasiennego
63.03	Pozyskanie tresci z najadrza do badania mikroskopowego
63.03	Pozyskanie tresci z najadrza do badania mikroskopowego
63.09	Zabiegi diagnostyczne powrozka nasiennego/ nasieniowodu i najadrza - inne
63.11	Wysokie podwiazanie zyly jadrowej
63.12	Operacja wodniaka jadra
63.13	Operacja zylakow powrozka nasiennego z dostepu pachwinowego lub mosznowego
63.14	Operacja mikrochirurgiczna zylakow powrozka nasiennego
63.15	Operacja zylakow powrozka nasiennego laparoskopowo
63.15	Operacja zylakow powrozka nasiennego laparoskopowo
	
	
	
63.51	Szycie rany powrozka nasiennego/ najadrza
63.52	Odprowadzenie skretu jadra lub powrozka nasiennego
63.53	Przeszczep powrozka nasiennego
63.54	Naklucie i oproznienie wodniaka jadra lub powrozka nasiennego lub torbieli najadrza z badaniem usunietego plynu i wstrzykniecie srodka obliterujacego do jamy wodniaka
63.59	Operacje naprawcze powrozka nasiennego/ najadrza - inne
	
63.71	Podwiazanie nasieniowodu
63.71	Podwiazanie nasieniowodu
63.72	Podwiazanie powrozka nasiennego
63.73	Wyciecie nasieniowodu
63.79	Sterylizacja (ubezplodnienie) mezczyzny - inne
63.81	Szycie rany nasieniowodu/ najadrza
63.82	Pooperacyjna rekonstrukcja przecietego i podwiazanego nasieniowodu
63.83	Wszczepienie nasieniowodu do najadrza
63.84	Usuniecie podwiazki nasieniowodu
63.85	Usuniecie zastawki z nasieniowodu
63.86	Zespolenie niesieniowodowo-najadrzowe lub nasieniowodowo-nasieniowodowe
63.89	Operacje naprawcze nasieniowodu/ najadrza - inne
63.92	Naciecie najadrza
63.93	Naciecie powrozka nasiennego
63.94	Uwolnienie zrostow powrozka nasiennego
63.95	Wprowadzenie zastawki do nasieniowodu
63.96	"Pozyskanie plemnikow z nasieniowodu do rozrodu wspomaganego (IVF – in vitro fertilization; ICSI – intracytoplasmatic sperm injection) "
63.96	"Pozyskanie plemnikow z nasieniowodu do rozrodu wspomaganego (IVF – in vitro fertilization; ICSI – intracytoplasmatic sperm injection) "
63.97	"Pozyskanie plemnikow z najadrza do rozrodu wspomaganego (IVF – in vitro fertilization; ICSI – intracytoplasmatic sperm injection)"
63.97	"Pozyskanie plemnikow z najadrza do rozrodu wspomaganego (IVF – in vitro fertilization; ICSI – intracytoplasmatic sperm injection)"
63.98	Blokada farmakologiczna powrozka nasiennego w leczeniu przewleklego bolu jadra
63.99	Operacje powrozka nasiennego/ najadrza/ nasieniowodu - inne
	
64.11	Biopsja iglowa pracia
64.12	Naklucie ciala jamistego pracia i pomiar cisnienia (kawernozometria)
64.19	Inne zabiegi diagnostyczne pracia
64.21	Wyciecie lub biopsja i zniszczenie zmiany skory pracia
64.22	Wyciecie lub biopsja i zniszczenie zmiany skory pracia i moszny
64.23	Biopsja i zniszczenie zmiany skory pracia laserem
64.24	Biopsja i zniszczenie zmiany skory pracia i moszny laserem
64.31	Wyciecie pracia czesciowe
64.32	Wyciecie pracia calkowite
64.33	Wyciecie pracia calkowite i biopsja regionalnych wezlow chlonnych
64.34	Wyciecie pracia calkowite i wyciecie pachwinowych powierzchownych wezlow chlonnych
64.35	Wyciecie pracia calkowite i wyciecie pachwinowych powierzchownych i glebokich wezlow chlonnych
64.36	Wyciecie pracia calkowite i wyciecie pachwinowych powierzchownych i glebokich wezlow chlonnych oraz wezlow chlonnych miednicznych
64.41	Szycie rany pracia
64.42	Uwolnienie bolesnego wzwodu pracia
64.43	Wytworzenie pracia
64.44	Operacja odtworcza pracia wczesniej amputowanego lub niedorozwinietego badz pograzonego
64.45	Wszycie dorazne pracia po amputacji urazowej z mikrochirurgicznym zespoleniem naczyń i nerwow
64.46	Usuniecie ciala obcego obejmujacego pracie
64.46	Usuniecie ciala obcego obejmujacego pracie
64.47	Pokrycie ubytku skory pracia przeszczepem
64.48	Operacje zgiecia pracia
64.48	Operacje zgiecia pracia
64.49	Operacje naprawcze pracia - inne
64.49	Operacje naprawcze pracia - inne
64.49	Operacje naprawcze pracia - inne
64.49	Operacje naprawcze pracia - inne
64.49	Operacje naprawcze pracia - inne
	
64.91	Grzbietowe/ boczne naciecie napletka
64.92	Naciecie pracia
64.93	Uwolnienie (wyciecie) zrostow pracia
64.94	Dopasowanie zewnetrznej protezy pracia
64.95	Niehydrauliczna proteza pracia
64.95	Niehydrauliczna proteza pracia
64.95	Niehydrauliczna proteza pracia
64.96	Usuniecie wewnetrznej protezy pracia
64.97	Hydrauliczna proteza pracia
64.97	Hydrauliczna proteza pracia
64.97	Hydrauliczna proteza pracia
64.98	Inne operacje pracia
64.98	Inne operacje pracia
64.98	Inne operacje pracia
64.98	Inne operacje pracia
64.98	Inne operacje pracia
64.98	Inne operacje pracia
64.99	Inne operacje meskich narzadow plciowych
65.01	Naciecie jajnika laparoskopowo
65.09	Naciecie jajnika - inne
65.11	Biopsja aspiracyjna jajnika
65.12	Biopsja jajnika - inna
65.13	Laparoskopowa biopsja jajnika
65.14	Inne laparoskopowe procedury diagnostyczne na jajnikach
65.19	Zabiegi diagnostyczne jajnika - inne
65.21	Marsupializacja cysty jajnika
65.22	Klinowa resekcja jajnika
65.23	Otwarcie torbieli jajnika/ jajnikow laparoskopowe
65.24	Laparoskopowa klinowa resekcja jajnika
65.25	Inne laparoskopowe wyciecie lub zniszczenie zmiany jajnika
65.26	Wyluszczenie guza jajnika jednostronne/ obustronne
65.29	Miejscowe zniszczenie lub wyciecie zmiany jajnika - inne
65.29	Miejscowe zniszczenie lub wyciecie zmiany jajnika - inne
65.29	Miejscowe zniszczenie lub wyciecie zmiany jajnika - inne
65.31	Jednostronne usuniecie jajnika laparoskopowo
65.39	Jednostronne usuniecie jajnika - inne
65.41	Jednostronne usuniecie jajnika i jajowodu laparoskopowo
65.49	Jednostronne usuniecie jajnika i jajowodu - inne
65.51	Rownoczesne usuniecie obu jajnikow
65.51	Rownoczesne usuniecie obu jajnikow
65.52	Wyciecie pozostalego/ jedynego jajnika
65.53	Laparoskopowe usuniecie obu jajnikow w trakcie jednego zabiegu
65.54	Laparoskopowe usuniecie pozostalego jajnika
65.61	Rownoczesne usuniecie obu jajnikow i jajowodow
65.62	Laparoskopowe usuniecie obu jajnikow i jajowodow w trakcie jednego zabiegu
65.63	Laparoskopowe usuniecie pozostalego jajnika i jajowodu
65.69	Usuniecie pozostalego jajnika i jajowodu - inne
65.71	Szycie jajnika
65.72	Przemieszczenie jajnika (reimplantacja)
65.73	Plastyka jajowodu i jajnika
65.74	Laparoskopowe proste zeszycie jajnika
65.75	Laparoskopowa reimplantacja jajnika
65.76	Laparoskopowa plastyka jajnika i jajowodu
65.79	Operacje naprawcze jajnika - inne
65.81	Laparoskopowe usuniecie zrostow jajnikowo-jajowodowych
65.89	Usuniecie zrostow jajnikowo-jajowodowych - inne
65.91	Aspiracja plynu z jajnika
65.92	Przeszczep jajnika
65.93	Otwarcie „na tepo” ropnia jajowodowo-jajnikowego
65.94	Odnerwienie jajnika
65.95	Uwolnienie skretu jajnika
65.99	Operacje jajnika - inne
66.01	Naciecie jajowodu
66.02	Utworzenie przetoki jajowodowo–brzusznej
66.11	Biopsja jajowodu
66.19	Zabiegi diagnostyczne jajowodu - inne
66.21	Obustronne laparoskopowe podwiazanie/ zmiazdzenie jajowodu
66.22	Obustronne laparoskopowe podwiazanie oraz rozdzielenie obu kikutow jajowodu
66.29	Obustronne endoskopowe zamkniecie swiatla jajowodow - inne
66.31	Obustronne podwiazanie i zmiazdzenie jajowodow
66.32	Obustronne podwiazanie lub rozdzielenie przecietych końcow jajowodu
66.39	Inne obustronne zmiazdzenie lub zamkniecie swiatla jajowodow
	
66.51	Wyciecie obu jajowodow w czasie tej samej operacji
66.52	Wyciecie pozostalego jajowodu i wyciecie jedynego jajowodu
66.52	Wyciecie pozostalego jajowodu i wyciecie jedynego jajowodu
66.61	Wyciecie lub zniszczenie zmiany jajowodu
66.62	Wyciecie jajowodu z ciaza jajowodowa
66.63	Obustronne czesciowe wyciecie jajowodow - inne
66.69	Czesciowe wyciecie jajowodu - inne
66.71	Proste zeszycie jajowodu
66.72	Szycie jajowodu
66.73	Polaczenie ujscia jajowodu z jajnikiem
66.74	Zespolenie jajowodu
66.75	Wszczepienie jajowodu do macicy
66.79	Przywrocenie droznosci rozdzielonego jajowodu
66.79	Przywrocenie droznosci rozdzielonego jajowodu
66.79	Przywrocenie droznosci rozdzielonego jajowodu
	
66.91	Aspiracja tresci jajowodu
66.92	Jednostronne zmiazdzenie lub zamkniecie swiatla jajowodu
66.93	Wszczepienie/wymiana protezy jajowodu
66.94	Usuniecie protezy jajowodu
66.95	Wprowadzenie srodka leczniczego do jajowodu
66.96	Rozszerzenie jajowodu
66.97	Wszczepienie strzepkow jajowodowych do macicy
66.99	Operacje jajowodow - inne
	
67.11	Biopsja kanalu szyjki macicy
67.12	Wycinki z szyjki macicy (biopsja skrawkowa)
67.13	Pobranie materialu z szyjki macicy do przesiewowego  badania cytologicznego 
67.19	Inne zabiegi diagnostyczne w zakresie szyjki macicy
67.19	Inne zabiegi diagnostyczne w zakresie szyjki macicy
	
67.31	Marsupializacja torbieli szyjki macicy
67.32	Elektrokauteryzacja szyjki macicy
67.32	Elektrokauteryzacja szyjki macicy
67.32	Elektrokauteryzacja szyjki macicy
67.32	Elektrokauteryzacja szyjki macicy
67.33	Kriokonizacja szyjki macicy
